Country,City/Town,Year,PM2.5,PM10,CO₂ emissions per capita,Renewables,pm25_normalized,pm10_normalized,co2_normalized,ren_normalized,risk_score,risk_category
China,Laixi,2014,56,84,7.187588,9.689675,0.37333333333333335,0.336,0.7187588,0.6207436425135608,48.443382183604555,Moderate Risk
China,Laizhou,2014,56,84,7.187588,9.689675,0.37333333333333335,0.336,0.7187588,0.6207436425135608,48.443382183604555,Moderate Risk
China,Linyi,2014,56,84,7.187588,9.689675,0.37333333333333335,0.336,0.7187588,0.6207436425135608,48.443382183604555,Moderate Risk
China,Suizhou,2016,56,88,6.9428844,11.113145,0.37333333333333335,0.352,0.69428844,0.565012848682329,47.15935910697991,Moderate Risk
China,Suqian,2016,56,120,6.9428844,11.113145,0.37333333333333335,0.48,0.69428844,0.565012848682329,49.71935910697992,Moderate Risk
China,Wujiang,2014,56,85,7.187588,9.689675,0.37333333333333335,0.34,0.7187588,0.6207436425135608,48.52338218360456,Moderate Risk
China,Xinzhou,2016,56,103,6.9428844,11.113145,0.37333333333333335,0.412,0.69428844,0.565012848682329,48.359359106979916,Moderate Risk
Iran,Genaveh,2016,56,129,7.6919622,1.3443363,0.37333333333333335,0.516,0.76919622,0.9474750457335097,59.58675864800354,High Risk
Saudi Arabia,Dammam,2016,56,161,20.873049,0.0036253089,0.37333333333333335,0.644,1.0,0.9999657113831268,67.81264756099587,High Risk
China,Deyang,2016,55,91,6.9428844,11.113145,0.36666666666666664,0.364,0.69428844,0.565012848682329,47.13269244031325,Moderate Risk
China,Jinzhou,2016,55,81,6.9428844,11.113145,0.36666666666666664,0.324,0.69428844,0.565012848682329,46.33269244031325,Moderate Risk
China,Rizhao,2016,55,101,6.9428844,11.113145,0.36666666666666664,0.404,0.69428844,0.565012848682329,47.932692440313254,Moderate Risk
China,Taian,2014,55,83,7.187588,9.689675,0.36666666666666664,0.332,0.7187588,0.6207436425135608,48.09671551693789,Moderate Risk
China,Yinchuan,2016,55,117,6.9428844,11.113145,0.36666666666666664,0.468,0.69428844,0.565012848682329,49.212692440313255,Moderate Risk
India,Panchkula,2016,55,101,1.7504745,6.369765,0.36666666666666664,0.404,0.17504745,0.7507226513779872,41.262068694226414,Moderate Risk
Iran,Asaluyeh,2016,55,126,7.6919622,1.3443363,0.36666666666666664,0.504,0.76919622,0.9474750457335097,59.08009198133686,High Risk
